SpecialistId,FirstName,LastName,Specialty,Npi,Taxonomy,CmsSpecialtyCode,PerformanceScore,Tier,Network,ClinicName,City,State,Zip,Lat,Lon
SPEC-0038,Priya,Zimmer,Rheumatology,2117448490,207RR0500X,66,50,3,In-Network,Zimmer Rheumatology Associates,Miami,FL,34368,25.660882,-80.250146
SPEC-0039,Brian,Foster,Rheumatology,1146659580,207RR0500X,66,93,1,In-Network,Foster Rheumatology Associates,Miami,FL,34282,25.736016,-80.329606
SPEC-0040,Carmen,Nguyen,Rheumatology,1204862241,207RR0500X,66,11,4,In-Network,Nguyen Rheumatology Associates,Miami,FL,33073,25.948912,-80.262174
SPEC-0041,Hassan,Bennett,Rheumatology,1487372389,207RR0500X,66,32,3,In-Network,Bennett Rheumatology Associates,Miami,FL,33549,25.685973,-80.131652
SPEC-0042,Carlos,Chen,Rheumatology,1334658154,207RR0500X,66,61,2,In-Network,Chen Rheumatology Associates,Miami,FL,33981,25.806748,-80.355924
SPEC-0043,Carmen,Lopez,Neurology,2561544281,2084N0400X,13,81,1,Out-of-Network,Lopez Neurology Associates,Miami,FL,34403,25.871504,-79.876572
SPEC-0044,Jamal,Huang,Neurology,1549596314,2084N0400X,13,52,2,In-Network,Huang Neurology Associates,Miami,FL,33467,25.924755,-80.348203
SPEC-0045,Rosa,Yamada,Neurology,1274539331,2084N0400X,13,29,3,In-Network,Yamada Neurology Associates,Miami,FL,33445,25.940052,-80.563213
SPEC-0046,Yusuf,Lopez,Neurology,1839840760,2084N0400X,13,94,1,In-Network,Lopez Neurology Associates,Miami,FL,34758,25.781045,-80.140038
SPEC-0047,Quincy,Dunn,Neurology,2765947280,2084N0400X,13,55,2,In-Network,Dunn Neurology Associates,Miami,FL,33217,25.632171,-80.424428
SPEC-0048,Nina,Kapoor,Neurology,2565636240,2084N0400X,13,95,1,In-Network,Kapoor Neurology Associates,Miami,FL,34122,25.646001,-80.333976
SPEC-0049,Elena,Zimmer,Neurology,1463074256,2084N0400X,13,14,4,In-Network,Zimmer Neurology Associates,Miami,FL,34290,25.602049,-80.326591
SPEC-0050,Yusuf,Walsh,Neurology,1669052486,2084N0400X,13,86,1,In-Network,Walsh Neurology Associates,Miami,FL,33392,25.671702,-80.153716
SPEC-0051,Samuel,Singh,Neurology,2203099702,2084N0400X,13,23,4,Out-of-Network,Singh Neurology Associates,Miami,FL,34472,25.617346,-80.094575
SPEC-0052,Jamal,Ibrahim,Neurology,1041066287,2084N0400X,13,53,2,In-Network,Ibrahim Neurology Associates,Miami,FL,33051,25.832661,-79.996223
SPEC-0053,Irene,Kapoor,Neurology,1128866336,2084N0400X,13,47,3,In-Network,Kapoor Neurology Associates,Miami,FL,33095,25.955503,-80.130059
SPEC-0054,Deepa,Jensen,Neurology,2794744948,2084N0400X,13,69,2,In-Network,Jensen Neurology Associates,Miami,FL,34181,25.7567,-80.259214
SPEC-0055,Victor,Torres,Neurology,1667669091,2084N0400X,13,44,3,Out-of-Network,Torres Neurology Associates,Miami,FL,34569,25.564023,-80.629349
SPEC-0056,Yusuf,Yamada,Neurology,2602119150,2084N0400X,13,51,2,In-Network,Yamada Neurology Associates,Miami,FL,33279,25.799727,-80.281121
SPEC-0057,Tara,Zimmer,Hematology,2260331592,207RH0003X,82,65,2,In-Network,Zimmer Hematology Associates,Miami,FL,33096,25.651856,-79.839948
SPEC-0058,Deepa,Diaz,Hematology,1961284209,207RH0003X,82,31,3,In-Network,Diaz Hematology Associates,Miami,FL,33854,25.653243,-80.224945
SPEC-0059,Frank,Quinn,Hematology,2437896683,207RH0003X,82,79,1,In-Network,Quinn Hematology Associates,Miami,FL,33981,25.614637,-80.003964
SPEC-0060,Rosa,Patel,Hematology,2128150176,207RH0003X,82,37,3,Out-of-Network,Patel Hematology Associates,Miami,FL,34655,25.810741,-80.188128
SPEC-0061,Wendy,Gupta,Hematology,2744563786,207RH0003X,82,94,1,In-Network,Gupta Hematology Associates,Miami,FL,34977,25.919992,-80.375229
SPEC-0062,Priya,Foster,Hematology,2539741886,207RH0003X,82,85,1,In-Network,Foster Hematology Associates,Miami,FL,33041,25.862832,-80.27378
SPEC-0063,Quincy,Reyes,Hematology,1941615779,207RH0003X,82,66,2,In-Network,Reyes Hematology Associates,Miami,FL,33653,25.973285,-80.251823
SPEC-0064,Aaron,Alvarez,Hematology,1883003737,207RH0003X,82,34,3,In-Network,Alvarez Hematology Associates,Miami,FL,33041,25.857111,-80.224441
SPEC-0065,Jamal,Ibrahim,Hematology,2658379468,207RH0003X,82,62,2,In-Network,Ibrahim Hematology Associates,Miami,FL,34784,25.811286,-80.284075
SPEC-0066,Wendy,Huang,Hematology,2977622515,207RH0003X,82,95,1,In-Network,Huang Hematology Associates,Miami,FL,33041,26.02717,-80.356166
SPEC-0067,Rosa,Castro,Hematology,2802294936,207RH0003X,82,61,2,In-Network,Castro Hematology Associates,Miami,FL,34131,26.065566,-80.300349
SPEC-0068,Tara,Ellis,Hematology,1268619727,207RH0003X,82,12,4,In-Network,Ellis Hematology Associates,Miami,FL,33295,25.631322,-80.377438
SPEC-0069,Wendy,Xu,Hematology,1674888742,207RH0003X,82,74,2,Out-of-Network,Xu Hematology Associates,Miami,FL,33811,25.546099,-80.08782
SPEC-0070,Karen,Jensen,Hematology,1373744568,207RH0003X,82,15,4,In-Network,Jensen Hematology Associates,Miami,FL,33044,25.930383,-80.278428
SPEC-0071,Priya,Ortiz,Pulmonology,2131243729,207RP1001X,29,69,2,In-Network,Ortiz Pulmonology Associates,Miami,FL,34166,25.650367,-80.487638
SPEC-0072,Frank,Walsh,Pulmonology,2925584809,207RP1001X,29,35,3,In-Network,Walsh Pulmonology Associates,Miami,FL,34549,25.986307,-80.177962
SPEC-0073,Rosa,Xu,Pulmonology,2972633624,207RP1001X,29,90,1,In-Network,Xu Pulmonology Associates,Miami,FL,33269,25.782092,-80.11272
SPEC-0074,Brian,Vargas,Pulmonology,1950242556,207RP1001X,29,73,2,In-Network,Vargas Pulmonology Associates,Miami,FL,34866,25.474569,-80.031443
SPEC-0075,Hassan,Yamada,Pulmonology,1552629812,207RP1001X,29,45,3,In-Network,Yamada Pulmonology Associates,Miami,FL,33680,25.819004,-79.938242
SPEC-0076,Frank,Mehta,Pulmonology,1115143194,207RP1001X,29,86,1,In-Network,Mehta Pulmonology Associates,Miami,FL,33034,25.666357,-80.021057
SPEC-0077,Priya,Huang,Pulmonology,2926168743,207RP1001X,29,79,1,In-Network,Huang Pulmonology Associates,Miami,FL,33781,25.777913,-80.527113
SPEC-0078,Brian,Xu,Pulmonology,2849443074,207RP1001X,29,91,1,Out-of-Network,Xu Pulmonology Associates,Miami,FL,34315,25.978823,-80.230843
SPEC-0079,Nina,Mehta,Pulmonology,2018761165,207RP1001X,29,27,3,In-Network,Mehta Pulmonology Associates,Miami,FL,33015,25.99995,-80.411218
SPEC-0080,Priya,Reyes,Pulmonology,1445959137,207RP1001X,29,13,4,In-Network,Reyes Pulmonology Associates,Miami,FL,34286,25.745525,-80.736543
SPEC-0081,Omar,Castro,Pulmonology,2949439980,207RP1001X,29,9,4,In-Network,Castro Pulmonology Associates,Miami,FL,33675,25.737793,-79.997649
SPEC-0082,Priya,Dunn,Pulmonology,2683941282,207RP1001X,29,68,2,In-Network,Dunn Pulmonology Associates,Miami,FL,34707,26.053099,-80.468616
SPEC-0083,Zoe,Jensen,Pulmonology,1402498137,207RP1001X,29,56,2,Out-of-Network,Jensen Pulmonology Associates,Miami,FL,34652,25.703319,-80.131658
SPEC-0084,Maria,Alvarez,Pulmonology,1168288433,207RP1001X,29,63,2,In-Network,Alvarez Pulmonology Associates,Miami,FL,34982,25.695714,-80.066966
SPEC-0085,Rosa,Singh,Cardiology,2800080105,207RC0000X,06,9,4,In-Network,Singh Cardiology Associates,Miami,FL,33489,25.833833,-79.978197
SPEC-0086,Zoe,Huang,Cardiology,2341402438,207RC0000X,06,48,3,In-Network,Huang Cardiology Associates,Miami,FL,34740,25.838103,-79.883397
SPEC-0087,Elena,Yamada,Cardiology,2754416867,207RC0000X,06,29,3,In-Network,Yamada Cardiology Associates,Miami,FL,34861,25.903807,-80.108397
SPEC-0088,Elena,Jensen,Cardiology,1081494340,207RC0000X,06,57,2,In-Network,Jensen Cardiology Associates,Miami,FL,34299,26.172389,-79.803343
SPEC-0089,Quincy,Kapoor,Cardiology,2160219228,207RC0000X,06,55,2,In-Network,Kapoor Cardiology Associates,Miami,FL,34673,25.87894,-80.160072
SPEC-0090,Uma,Huang,Cardiology,2435815925,207RC0000X,06,54,2,In-Network,Huang Cardiology Associates,Miami,FL,34404,25.999918,-80.375885
SPEC-0091,Quincy,Huang,Cardiology,1367735648,207RC0000X,06,30,3,Out-of-Network,Huang Cardiology Associates,Miami,FL,34285,25.490565,-80.578057
SPEC-0092,Omar,Yamada,Cardiology,1064130077,207RC0000X,06,89,1,In-Network,Yamada Cardiology Associates,Miami,FL,33778,25.751504,-80.029251
SPEC-0093,Luis,Zimmer,Cardiology,2124128416,207RC0000X,06,88,1,In-Network,Zimmer Cardiology Associates,Miami,FL,33410,25.729858,-80.314466
SPEC-0094,Priya,Torres,Cardiology,2640993616,207RC0000X,06,93,1,In-Network,Torres Cardiology Associates,Miami,FL,33148,25.562046,-79.789196
SPEC-0095,Wendy,Xu,Cardiology,2708692894,207RC0000X,06,93,1,In-Network,Xu Cardiology Associates,Miami,FL,34430,25.666558,-80.283594
SPEC-0096,Maria,Singh,Cardiology,2413820038,207RC0000X,06,19,4,In-Network,Singh Cardiology Associates,Miami,FL,34897,25.773872,-80.281188
SPEC-0097,Irene,Huang,Cardiology,2116883291,207RC0000X,06,72,2,In-Network,Huang Cardiology Associates,Miami,FL,33607,26.008999,-79.886518
SPEC-0098,Karen,Mehta,Cardiology,2113705372,207RC0000X,06,64,2,In-Network,Mehta Cardiology Associates,Miami,FL,34309,25.576759,-79.995081
SPEC-0099,Irene,Ortiz,Endocrinology,2997081643,207RE0101X,46,89,1,In-Network,Coral Endocrinology Center,Miami,FL,34998,25.62166,-80.239561
